intent,user_input,bot_response,risk_level,escalation_required,age_group,guideline_reference
mental_health_faq,What is depression every day,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,child,WHO Mental Health Gap Action Programme
emotional_support,Lately I just want support a lot,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,teen,WHO Mental Health Gap Action Programme
stress_reaction,Sometimes I feel burned out recently,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Sometimes I overthink every situation and it worries me,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,teen,WHO Mental Health Gap Action Programme
depression_symptoms,Lately I feel hopeless about life lately,I am sorry you are going through this. You deserve support and care.,high,yes,child,WHO Mental Health Gap Action Programme
coping_mechanism,Honestly How do I manage stress better recently,Small daily self-care activities can support emotional resilience over time.,low,no,teen,WHO Psychological First Aid
professional_help,These days When should someone seek mental health support,"Reaching out for help shows strength, not weakness.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Sometimes I want to disappear a lot,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,These days What is depression a lot,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,adult,WHO Mental Health Gap Action Programme
emotional_support,These days I need someone to talk to every day,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Lately I feel burned out lately,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,adult,WHO Psychological First Aid
anxiety_symptoms,Lately I overthink every situation a lot,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,Lately I lost interest in everything a lot,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,child,WHO Mental Health Gap Action Programme
coping_mechanism,Lately What helps during panic attacks lately,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Sometimes When should someone seek mental health support recently,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,child,WHO Suicide Prevention Guidance
suicide_warning,These days I want the pain to stop lately,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,child,WHO Mental Health Gap Action Programme
mental_health_faq,Lately What are warning signs of depression recently,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,I need someone to talk to recently,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,WHO Mental Health Gap Action Programme
stress_reaction,These days I feel burned out and it worries me,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,adult,WHO Suicide Prevention Guidance
anxiety_symptoms,Honestly I feel scared something bad will happen every day,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,senior,WHO Psychological First Aid
depression_symptoms,I do not enjoy activities anymore lately,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Psychological First Aid
coping_mechanism,Lately What helps during panic attacks every day,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,adult,WHO Suicide Prevention Guidance
professional_help,Lately Should I talk to a psychologist a lot,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,Recently I am thinking about hurting myself every day,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,child,WHO Psychological First Aid
mental_health_faq,These days Is anxiety treatable and it worries me,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,adult,WHO Mental Health Gap Action Programme
emotional_support,Sometimes I am struggling emotionally and it worries me,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,adult,WHO Mental Health Gap Action Programme
stress_reaction,I keep worrying about deadlines a lot,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,senior,WHO Suicide Prevention Guidance
anxiety_symptoms,Honestly I avoid situations because I get anxious a lot,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,adult,WHO Suicide Prevention Guidance
depression_symptoms,I feel emotionally numb,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Lately What helps during panic attacks and it worries me,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,WHO Psychological First Aid
professional_help,These days What happens in therapy and it worries me,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,child,WHO Mental Health Gap Action Programme
suicide_warning,Lately I feel suicidal and it worries me,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,adult,WHO Mental Health Gap Action Programme
mental_health_faq,Honestly Is anxiety treatable lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Lately I am struggling emotionally lately,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,senior,WHO Suicide Prevention Guidance
stress_reaction,I feel overwhelmed with work every day,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,I overthink every situation and it worries me,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,Lately I do not enjoy activities anymore lately,I am sorry you are going through this. You deserve support and care.,high,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,How do I feel emotionally balanced,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,teen,WHO Psychological First Aid
professional_help,These days How do I know if I need professional help and it worries me,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,I feel suicidal,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,WHO Suicide Prevention Guidance
mental_health_faq,Can stress affect physical health lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,senior,WHO Psychological First Aid
emotional_support,Recently I just want support lately,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,teen,WHO Psychological First Aid
stress_reaction,Sometimes I cannot manage my workload a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,child,WHO Mental Health Gap Action Programme
anxiety_symptoms,Honestly I feel scared something bad will happen every day,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,senior,WHO Suicide Prevention Guidance
depression_symptoms,Recently I feel sad every day every day,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,Lately How can I calm myself down recently,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Recently When should someone seek mental health support every day,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Lately I am thinking about hurting myself recently,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Recently What is a panic attack and it worries me,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I need encouragement and it worries me,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Recently I am mentally exhausted a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,Sometimes I feel anxious all the time and it worries me,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Sometimes I lost interest in everything lately,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,senior,WHO Mental Health Gap Action Programme
coping_mechanism,How can I calm myself down every day,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,WHO Mental Health Gap Action Programme
professional_help,Sometimes What happens in therapy recently,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,These days I want the pain to stop a lot,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Recently Is anxiety treatable every day,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,I need comfort recently,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,senior,WHO Psychological First Aid
stress_reaction,Lately I feel burned out a lot,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,adult,WHO Psychological First Aid
anxiety_symptoms,These days I feel anxious all the time a lot,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,teen,WHO Mental Health Gap Action Programme
depression_symptoms,Recently I do not enjoy activities anymore,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,Honestly How do I feel emotionally balanced lately,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Mental Health Gap Action Programme
professional_help,Sometimes How do I know if I need professional help lately,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,Lately I want to disappear,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,Recently What are symptoms of burnout every day,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,teen,WHO Mental Health Gap Action Programme
emotional_support,Lately I need someone to talk to recently,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,child,WHO Psychological First Aid
stress_reaction,I cannot relax anymore and it worries me,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,Honestly I feel nervous for no reason,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,teen,WHO Mental Health Gap Action Programme
depression_symptoms,I feel hopeless about life and it worries me,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Mental Health Gap Action Programme
coping_mechanism,Sometimes How can I sleep better during stress and it worries me,Small daily self-care activities can support emotional resilience over time.,low,no,child,WHO Mental Health Gap Action Programme
professional_help,Recently How do I know if I need professional help,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,These days I feel trapped and hopeless every day,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,senior,WHO Mental Health Gap Action Programme
mental_health_faq,These days What is depression,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,child,WHO Suicide Prevention Guidance
emotional_support,Lately I feel isolated and it worries me,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,adult,WHO Psychological First Aid
stress_reaction,Honestly I keep worrying about deadlines and it worries me,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,senior,WHO Mental Health Gap Action Programme
anxiety_symptoms,Honestly I feel panic before social events every day,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,senior,WHO Psychological First Aid
depression_symptoms,I feel sad every day lately,I am sorry you are going through this. You deserve support and care.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,Sometimes How can I calm myself down and it worries me,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,teen,WHO Mental Health Gap Action Programme
professional_help,Can therapy help me recently,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,Honestly I want the pain to stop a lot,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,What are symptoms of burnout lately,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,child,WHO Mental Health Gap Action Programme
emotional_support,Lately I need encouragement every day,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Lately I cannot relax anymore a lot,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,senior,WHO Suicide Prevention Guidance
anxiety_symptoms,Lately I cannot stop worrying a lot,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Nothing makes me happy anymore,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,senior,WHO Suicide Prevention Guidance
coping_mechanism,These days How do I feel emotionally balanced every day,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Sometimes How do I know if I need professional help a lot,"Reaching out for help shows strength, not weakness.",medium,no,child,WHO Mental Health Gap Action Programme
suicide_warning,Sometimes I want to disappear recently,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,child,WHO Mental Health Gap Action Programme
mental_health_faq,These days What is a panic attack recently,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Lately I need comfort every day,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,WHO Psychological First Aid
stress_reaction,Honestly I feel pressure all the time and it worries me,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,senior,WHO Suicide Prevention Guidance
anxiety_symptoms,Lately I feel nervous for no reason and it worries me,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,WHO Psychological First Aid
depression_symptoms,These days Nothing makes me happy anymore every day,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Mental Health Gap Action Programme
coping_mechanism,Honestly What can I do when I feel overwhelmed and it worries me,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,child,WHO Psychological First Aid
professional_help,These days Do I need counseling every day,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,child,WHO Suicide Prevention Guidance
suicide_warning,I am thinking about hurting myself recently,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,Sometimes Can stress affect physical health lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,senior,WHO Mental Health Gap Action Programme
emotional_support,Recently I just want support every day,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,senior,WHO Suicide Prevention Guidance
stress_reaction,I feel tension in my body every day a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Sometimes I feel anxious all the time every day,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,adult,WHO Mental Health Gap Action Programme
depression_symptoms,Honestly I feel emotionally numb every day,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,child,WHO Mental Health Gap Action Programme
coping_mechanism,Sometimes What helps during panic attacks and it worries me,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Suicide Prevention Guidance
professional_help,Recently Should I talk to a psychologist and it worries me,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,child,WHO Mental Health Gap Action Programme
suicide_warning,Lately I want the pain to stop,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,adult,WHO Mental Health Gap Action Programme
mental_health_faq,What causes anxiety and it worries me,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,adult,WHO Mental Health Gap Action Programme
emotional_support,Sometimes I feel isolated recently,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,child,WHO Mental Health Gap Action Programme
stress_reaction,Honestly I feel tension in my body every day,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Psychological First Aid
anxiety_symptoms,Honestly I feel anxious all the time,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,I lost interest in everything a lot,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,Honestly How can I calm myself down recently,Small daily self-care activities can support emotional resilience over time.,low,no,adult,WHO Suicide Prevention Guidance
professional_help,Recently I want to speak to a counselor recently,"Reaching out for help shows strength, not weakness.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Honestly I want to disappear,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,senior,WHO Mental Health Gap Action Programme
mental_health_faq,Recently Is anxiety treatable a lot,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Recently I feel unsupported,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,WHO Mental Health Gap Action Programme
stress_reaction,These days I am mentally exhausted lately,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,senior,WHO Suicide Prevention Guidance
anxiety_symptoms,Sometimes I feel scared something bad will happen,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,These days I lost interest in everything,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,How can I calm myself down lately,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,WHO Psychological First Aid
professional_help,Sometimes When should someone seek mental health support lately,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Recently I feel like ending my life,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,Sometimes What are symptoms of burnout recently,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,teen,WHO Suicide Prevention Guidance
emotional_support,Honestly I am struggling emotionally and it worries me,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,teen,WHO Mental Health Gap Action Programme
stress_reaction,These days I feel tension in my body every day recently,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,teen,WHO Psychological First Aid
anxiety_symptoms,Lately I feel restless constantly every day,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Recently I feel tired all the time recently,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,These days How can I improve my mental health a lot,Small daily self-care activities can support emotional resilience over time.,low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Recently Can therapy help me and it worries me,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,senior,WHO Suicide Prevention Guidance
suicide_warning,Sometimes Nobody would care if I was gone every day,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,Lately Can stress affect physical health recently,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,teen,WHO Psychological First Aid
emotional_support,Lately I feel isolated a lot,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,teen,WHO Mental Health Gap Action Programme
stress_reaction,These days I keep worrying about deadlines lately,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Lately I cannot stop worrying every day,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Sometimes I lost interest in everything a lot,I am sorry you are going through this. You deserve support and care.,high,yes,teen,WHO Mental Health Gap Action Programme
coping_mechanism,Sometimes What are healthy coping strategies and it worries me,Small daily self-care activities can support emotional resilience over time.,low,no,teen,WHO Psychological First Aid
professional_help,Honestly Should I see a therapist a lot,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,These days I am thinking about hurting myself and it worries me,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,Lately Can stress affect physical health lately,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,teen,WHO Suicide Prevention Guidance
emotional_support,Lately Nobody understands me every day,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,senior,WHO Mental Health Gap Action Programme
stress_reaction,Honestly I am mentally exhausted every day,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,adult,WHO Mental Health Gap Action Programme
anxiety_symptoms,Honestly I overthink every situation every day,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,teen,WHO Mental Health Gap Action Programme
depression_symptoms,Sometimes Nothing makes me happy anymore every day,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Psychological First Aid
coping_mechanism,Sometimes What can I do when I feel overwhelmed a lot,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Lately Do I need counseling a lot,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,Honestly Nobody would care if I was gone,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,teen,WHO Mental Health Gap Action Programme
mental_health_faq,Honestly What causes anxiety lately,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,teen,WHO Psychological First Aid
emotional_support,Lately I feel isolated recently,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,These days I am mentally exhausted and it worries me,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Honestly I avoid situations because I get anxious a lot,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,child,WHO Psychological First Aid
depression_symptoms,I stay in bed all day lately,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Mental Health Gap Action Programme
coping_mechanism,These days What can I do when I feel overwhelmed,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,teen,WHO Psychological First Aid
professional_help,These days How do I ask for mental health help and it worries me,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,child,WHO Psychological First Aid
suicide_warning,Honestly I feel trapped and hopeless every day,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,teen,WHO Mental Health Gap Action Programme
mental_health_faq,Lately What is depression every day,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,senior,WHO Psychological First Aid
emotional_support,Recently I just want support a lot,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,These days I am mentally exhausted,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,child,WHO Psychological First Aid
anxiety_symptoms,Sometimes I cannot sleep because of anxiety lately,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,Recently I feel empty inside a lot,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Recently What helps during panic attacks,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,teen,WHO Mental Health Gap Action Programme
professional_help,Recently What happens in therapy a lot,"Reaching out for help shows strength, not weakness.",medium,no,child,WHO Suicide Prevention Guidance
suicide_warning,Sometimes I am thinking about hurting myself,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,adult,WHO Suicide Prevention Guidance
mental_health_faq,Recently What causes anxiety,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,WHO Mental Health Gap Action Programme
emotional_support,Nobody understands me and it worries me,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,teen,WHO Mental Health Gap Action Programme
stress_reaction,I feel burned out every day,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Recently I feel scared something bad will happen recently,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Lately I feel hopeless about life,I am sorry you are going through this. You deserve support and care.,high,yes,senior,WHO Mental Health Gap Action Programme
coping_mechanism,Lately What can I do when I feel overwhelmed every day,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,child,WHO Suicide Prevention Guidance
professional_help,Sometimes I want to speak to a counselor recently,"Reaching out for help shows strength, not weakness.",medium,no,senior,WHO Psychological First Aid
suicide_warning,I feel like ending my life a lot,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,child,WHO Psychological First Aid
mental_health_faq,Honestly What causes anxiety and it worries me,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,adult,WHO Suicide Prevention Guidance
emotional_support,Lately I need someone to talk to lately,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,I keep worrying about deadlines a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,adult,WHO Psychological First Aid
anxiety_symptoms,These days I cannot stop worrying recently,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,adult,WHO Suicide Prevention Guidance
depression_symptoms,These days I feel emotionally numb lately,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,Recently How do I feel emotionally balanced and it worries me,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,child,WHO Psychological First Aid
professional_help,Sometimes When should someone seek mental health support recently,"Reaching out for help shows strength, not weakness.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Sometimes Life feels pointless,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,senior,WHO Psychological First Aid
mental_health_faq,Honestly What causes anxiety recently,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,teen,WHO Psychological First Aid
emotional_support,Honestly I feel unsupported,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Lately I feel tension in my body every day every day,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,senior,WHO Mental Health Gap Action Programme
